height,sd3_weight
65,5.868
66,6.054
67,6.236
68,6.416
69,6.594
70,6.771
71,6.944
72,7.113
73,7.278
74,7.439
75,7.596
76,7.747
77,7.895
78,8.039
79,8.183
80,8.332
81,8.489
82,8.657
83,8.837
84,9.029
85,9.229
86,9.433
87,9.637
88,9.838
89,10.034
90,10.226
91,10.414
92,10.599
93,10.782
94,10.964
95,11.148
96,11.334
97,11.524
98,11.718
99,11.917
100,12.12
101,12.328
102,12.539
103,12.755
104,12.975
105,13.198
106,13.426
107,13.658
108,13.895
109,14.137
110,14.385
111,14.639
112,14.898
113,15.162
114,15.429
115,15.7
116,15.974
117,16.248
118,16.523
119,16.798
120,17.072
